,id,label,comment,AWS Labels,AWS Scores
0,180,neutral,Jimmy this ready for review/commit? If so please 'submit'. Thanks.,NEUTRAL,0.4149356484413147
1,409,neutral,I'm backporting this to 3.4 and 3.3 branches. --Michi,NEUTRAL,0.9051244258880615
2,485,neutral,+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12508207/ZOOKEEPER-1263.patch against trunk revision 1214571. +1 @author. The patch does not contain any @author tags. +1 tests included. The,NEUTRAL,0.9653822779655457
3,611,negative,Bug Flavio more? Seriously,NEUTRAL,0.5475954413414001
4,644,neutral,Integrated in ZooKeeper-trunk #1266 (See https://builds.apache.org/job/ZooKeeper-trunk/1266/) ZOOKEEPER-1104. CLONE - In QuorumTest,NEUTRAL,0.9995625615119934
5,927,neutral,The patch no longer applies. Abmar,NEGATIVE,0.9553015232086182
6,1671,neutral,Integrated in ZooKeeper-trunk #271 (See http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/271/),NEUTRAL,0.9996715784072876
7,1725,neutral,3.0.0 has been released,NEUTRAL,0.9805236458778381
8,2091,neutral,Edited these issues to set the fix version.,NEUTRAL,0.9717046618461609
9,2685,neutral,Integrated in Hadoop-Mapreduce-trunk #1386 (See https://builds.apache.org/job/Hadoop-Mapreduce-trunk/1386/) YARN-209. Fix CapacityScheduler to trigger application-activation when the cluster capacity changes. Contributed by Zhijie Shen. (Revision 1461773) Result = SUCCESS vinodkv : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1461773 Files : /hadoop/common/trunk/hadoop-yarn-project/CHANGES.txt /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRM.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue.java,NEUTRAL,0.9995898604393005
10,2987,positive,Thanks for the patch,POSITIVE,0.9589413404464722
11,3399,neutral,Changed MULTI_TEXTVALUE_SEPARATOR into a property configurable by injection of constant named xwork.validatorfileparser.multi_textvalue_separator. This makes it possible to have empty String as 'separator' if it apllies to your particular platform,NEUTRAL,0.9843736886978149
12,3591,neutral,That is my understanding. Looking at the dtd,NEUTRAL,0.806199312210083
13,4163,neutral,No reply,NEGATIVE,0.642880380153656
14,4223,neutral,Updated in 1.2 branch. David,NEUTRAL,0.9865527749061584
15,4694,neutral,As Wing Yew said,NEUTRAL,0.9985020160675049
16,4758,neutral,See comments above,NEUTRAL,0.9974290728569031
17,4887,positive,Patch Applied. Good Work Adrian!,POSITIVE,0.9700636267662048
18,5294,positive,After re-compiling the applcation and re-deploying everything worked properly,POSITIVE,0.5223203301429749
19,5373,neutral,I mailed jsr-206-comments@jcp.org and got the following response from Jeff Suttor: 'hi Daniel,NEUTRAL,0.9976329803466797
20,5491,neutral,reg_name has been accepted as valid URI syntax since Xerces 2.6.0. This may change in the future if XML Schema 1.0 moves up to the RFC 3986 syntax which excludes this production. Xerces CVS currently supports the XML Schema 1.0,NEUTRAL,0.9604787230491638
21,5711,neutral,Venu committed your patch. It's in Xerces 2.6.0. Please verify.,NEUTRAL,0.9790864586830139
22,5713,neutral,Venu committed your patch for Xerces 2.6.0. Please verify.,NEUTRAL,0.9885722398757935
23,5721,neutral,All of the components in the configuration get reset before parsing begins. This gives each component an opportunity to read features and properties from the configuration,POSITIVE,0.5596920847892761
24,5784,neutral,This bug is 3 years old. Anybody looking to fix it?,NEGATIVE,0.7607612013816833
25,6272,neutral,The problem is not in the SAX parser. The problem occurs if you give the -server flag to the jvm (jdk 1.4/1.3) e.g. java -server <sax parser class> on a really big file. Will cause a stackOverflow. Greg Meagher,NEGATIVE,0.7894620895385742
26,6447,neutral,See bug 5694 for the DOMException problem.,NEUTRAL,0.6416372060775757
27,6555,neutral,Reporter took back the issue.,NEUTRAL,0.9247421622276306
28,7278,positive,Hi George,NEUTRAL,0.999394416809082
29,7380,neutral,As a work around,NEUTRAL,0.9356796145439148
30,7461,positive,I verified the fix using the xml-xerces_20040107172932.tar.gz CVS snapshot. Thanks!,POSITIVE,0.6841803193092346
31,7577,neutral,patch in cvs. Could you please verify?,NEUTRAL,0.9770853519439697
32,7665,positive,Verified,NEUTRAL,0.7967265248298645
33,8098,neutral,*** Bug 9236 has been marked as a duplicate of this bug. ***,NEUTRAL,0.8527031540870667
34,8202,neutral,*** Bug 8704 has been marked as a duplicate of this bug. ***,NEUTRAL,0.9260444641113281
35,8502,neutral,I tried using your testcase on Win95/IE4,NEUTRAL,0.9969841837882996
36,8640,neutral,I think you want the XMLBEANS project,NEUTRAL,0.8794192671775818
37,8813,neutral,checked in,NEUTRAL,0.9054778814315796
38,8980,neutral,Added 'onRowInserted' callback to TreeTable,NEUTRAL,0.950032651424408
39,9485,neutral,This appears to be a duplicate of XALANJ-2301. That bug report contains a one-line patch (supplied inline in the text of the bug report).,NEGATIVE,0.5509446859359741
