,id,label,comment,AWS Labels,AWS Scores
0,180,neutral,Jimmy this ready for review/commit? If so please 'submit'. Thanks.,NEUTRAL,0.414935648
1,409,neutral,I'm backporting this to 3.4 and 3.3 branches. --Michi,NEUTRAL,0.905124426
2,485,neutral,+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12508207/ZOOKEEPER-1263.patch against trunk revision 1214571. +1 @author. The patch does not contain any @author tags. +1 tests included. The,NEUTRAL,0.965382278
3,611,negative,Bug Flavio more? Seriously,NEUTRAL,0.547595441
4,644,neutral,Integrated in ZooKeeper-trunk #1266 (See https://builds.apache.org/job/ZooKeeper-trunk/1266/) ZOOKEEPER-1104. CLONE - In QuorumTest,NEUTRAL,0.999562562
5,927,neutral,The patch no longer applies. Abmar,NEGATIVE,0.955301523
6,1671,neutral,Integrated in ZooKeeper-trunk #271 (See http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/271/),NEUTRAL,0.999671578
7,1725,neutral,3.0.0 has been released,NEUTRAL,0.980523646
8,2091,neutral,Edited these issues to set the fix version.,NEUTRAL,0.971704662
9,2685,neutral,Integrated in Hadoop-Mapreduce-trunk #1386 (See https://builds.apache.org/job/Hadoop-Mapreduce-trunk/1386/) YARN-209. Fix CapacityScheduler to trigger application-activation when the cluster capacity changes. Contributed by Zhijie Shen. (Revision 1461773) Result = SUCCESS vinodkv : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1461773 Files : /hadoop/common/trunk/hadoop-yarn-project/CHANGES.txt /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRM.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue.java,NEUTRAL,0.99958986
